    INFO: 2023-03-30 21:52:35,262:               log.py:   20: Logging to E:\Project\auto-mark\crawler\mdpdf.log
   DEBUG: 2023-03-30 21:52:35,262:               cli.py:  103: 广东省国土资源技术中心-采购意向公告.md
    INFO: 2023-03-30 21:52:35,262:         converter.py:   14: 广东省国土资源技术中心-采购意向公告.md
   DEBUG: 2023-03-30 21:52:35,279:      pdf_renderer.py:  470: printSegment: | 标题                                              | 发布时间                | 采购项目名称                                                             | 采购需求概况                                      
   DEBUG: 2023-03-30 21:52:35,293:      pdf_renderer.py:  470: printSegment:                                                                                                                                                                                            
   DEBUG: 2023-03-30 21:52:35,301:      pdf_renderer.py:  470: printSegment:                                                                                                                                                                                            
   DEBUG: 2023-03-30 21:52:35,306:      pdf_renderer.py:  470: printSegment:                                                                                                                                                                                            
   DEBUG: 2023-03-30 21:52:35,309:      pdf_renderer.py:  470: printSegment:                                                                                                                                                                                            
   DEBUG: 2023-03-30 21:52:35,311:      pdf_renderer.py:  470: printSegment:                                                                                                                                                                                            
   DEBUG: 2023-03-30 21:52:35,313:      pdf_renderer.py:  470: printSegment:                                                                                                                                                                                            
   DEBUG: 2023-03-30 21:52:35,313:      pdf_renderer.py:  470: printSegment:                                                                                                                             | 落实政府采购政策情况                                        | 预算金额(元) 
   DEBUG: 2023-03-30 21:52:35,325:      pdf_renderer.py:  470: printSegment:    | 预计采购时间   | 备注                      |
   DEBUG: 2023-03-30 21:52:35,325:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2023-03-30 21:52:35,326:      pdf_renderer.py:  470: printSegment: |:------------------------------------------------|:--------------------|:-------------------------------------------------------------------|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:--------------------------------------------------|:------------|:---------|:------------------------|
   DEBUG: 2023-03-30 21:52:35,340:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年01月政府采购意向 | 2022-12-27 14:16:18 | 广东省自然资源卫星遥感监测样本采集、模型训练、图斑提取及专题应用                                   | 标的名称：广东省自然资源卫星遥感监测样本采集、模型训练、图斑提取及专题应用  标的数量：1  主要功能或目标：内容1：卫星遥感常态化监测样本采集、模型训练、图斑提取及专题应用技术服务 1.扩充遥感影像样本，构建遥感监测知识图谱，进行深度学习模型优化设计训练测试及集成。 2.影像预处理，常态化监测图斑提取、检核、质检、数据整理等。 3.按年度开展村镇工业集聚区监测与分析评价。 4.样本质量评价规范编写。 内容2：省级卫星遥感执法监测能力提升 1.新增执法监测样本集、优化模型、线索图斑提取和专题监测图斑提取。  需满足的要求：质量要求：满足采购需求所规定的技术要求，成果通过专家组验收；时限要求：当年度11月20日前完成阶段性验收，2025年12月20日前完成项目验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 面向中小企业预留份额比例不少于30%。                               | 16082000.0  | 2023年01月 | 采用“一采三年”采购模式确保技术服务的连续性。 |
   DEBUG: 2023-03-30 21:52:35,363:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年01月政府采购意向 | 2022-12-27 14:16:18 | 省全民所有自然资源资产所有权委托代理数据建设及监管预警（二期）                                    | 标的名称：省全民所有自然资源资产所有权委托代理数据建设及监管预警（二期）  标的数量：1  主要功能或目标：1.探索省自然资源清单标图建库与更新方法并形成更新数据； 2.探索构建省级人民政府代理自然资源资产开发保护监管、变化监管预警的变化分析模型，并开展典型资源验证； 3.探索中小尺度下自然资源生态产品价值核算。  需满足的要求：质量要求：满足采购需求所规定的技术要求，成果通过专家组验收。时限要求：2023年11月20日前完成项目验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 本项目不属于专门面向中小企业采购的项目。                              | 2200000.0   | 2023年01月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,377:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年03月政府采购意向 | 2022-12-01 10:12:00 | 基础地理信息矢量数据处理服务                                                     | 标的名称：基础地理信息矢量数据处理服务  标的数量：1  主要功能或目标：完成任务区内广东省2023年度省级基础地理信息矢量数据更新处理工作。  需满足的要求：质量要求：满足项目技术设计所规定的技术要求，成果通过指定机构的质量监督检查验收。时限要求：2023年12月10日前完成验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 本项目不属于专门面向中小企业采购的项目。                              | 3500000.0   | 2023年01月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,392:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年03月政府采购意向 | 2022-12-01 10:12:00 | 基础地理实体数据转换（一期）专业产品                                                 | 标的名称：基础地理实体数据转换（一期）专业产品  标的数量：1  主要功能或目标：提供基础地理矢量要素向基础地理实体转换的预处理及编辑专业产品。  需满足的要求：质量要求：满足采购需求所规定的技术要求，成果通过专家组的验收。时限要求：2023年12月10日前完成验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 本项目不属于专门面向中小企业采购的项目。                              | 500000.0    | 2023年03月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,406:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年03月政府采购意向 | 2022-12-01 10:12:00 | 2米分辨率数字正射影像图质量提升（2023年度）                                           | 标的名称：包组一：光学遥感测绘卫星影像分级控制几何精度提升技术服务；包组二：优于2米分辨率非公益卫星遥感数据在线接收专业产品  标的数量：2  主要功能或目标：包组一：充分利用已有的外业像控点的精度优势，设计光学卫星影像理论平差精度评估技术、多精度控制数据辅助的区域网平差和粗差剔除技术，基于已有的多源遥感影像快速处理系统开发相应的工具，将光学卫星影像的自动几何校正精度提高到亚米级水平。包组二：提供能够通过网络传输在线将卫星影像数据由指定服务器直传至技术中心存储服务器，提升数据交付的效率。专业产品支持多线程推送与断点续传，卫星遥感数据格式、传输监控等能力。  需满足的要求：质量要求：满足采购需求所规定的技术要求，成果通过专家组验收。包组一：时限要求：2023年12月10日前完成验收。包组二：时限要求：2023年4月30日前完成验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 本项目不属于专门面向中小企业采购的项目。                              | 1350000.0   | 2023年01月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,420:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年03月政府采购意向 | 2022-12-01 10:12:00 | 广东省自然资源调查评价监测体系建设—购买与处理SAR卫星遥感影像数据（2023-2025年）                     | 标的名称：广东省自然资源调查评价监测体系建设—购买与处理SAR卫星遥感影像数据（2023-2025年）  标的数量：1  主要功能或目标：1.购买3米分辨率SAR卫星遥感影像（2023-2025年），每年第二、三季度各覆盖一次，每次影像数据范围覆盖广东省整个行政辖区（含东沙群岛及其它近海岛屿）不少于18万平方公里。2.SAR数据正射处理（2023-2025年）。利用中心像控点及DEM对本“广东省自然资源调查评价监测体系建设—购买SAR 卫星遥感影像数据”项目采购的优于3m（含3m）空间分辨率的SAR卫星遥感影像进行正射纠正。  需满足的要求：1.质量要求：提供满足采购需求所规定的影像数据，成果需要通过指定机构的质量监督检查验收。时限要求：当年10月30日前完成验收。2.质量要求：满足采购需求所规定的技术要求，成果通过专家组验收。时限要求：当年11月30日前完成验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 本项目不属于专门面向中小企业采购的项目。                              | 7890600.0   | 2023年01月 | 使用“一采三年”采购模式            |
   DEBUG: 2023-03-30 21:52:35,434:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年03月政府采购意向 | 2022-12-01 10:12:00 | 广东省自然资源卫星遥感快速联动监测与专题应用                                             | 标的名称：广东省自然资源卫星遥感快速联动监测与专题应用-卫星遥感常态化监测样本采集、模型训练、图斑提取及专题应用技术服务  标的数量：1  主要功能或目标：1.卫星遥感常态化监测样本采集及模型训练与优化。扩充多模态遥感影像样本，建立样本质量评估体系与流程，开展样本精化。构建遥感常态化监测知识图谱，进行深度学习模型优化设计、训练、测试及集成。2.卫星遥感常态化监测图斑提取。完成实施期内遥感监测影像预处理，常态化监测图斑提取、检核、质量检查、数据整理等相关工作。3.按年度开展村镇工业集聚区监测与分析评价。4.标准编制，完成样本质量评价规范编写。  需满足的要求：质量要求：满足采购需求所规定的技术要求，成果通过专家组验收；时限要求：当年11月20日前完成阶段性验收，2025年12月20日前完成验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 面向中小企业预留份额比例不少于30%。                               | 13292000.0  | 2023年01月 | 使用“一采三年”采购模式            |
   DEBUG: 2023-03-30 21:52:35,450:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年03月政府采购意向 | 2022-12-01 10:12:00 | 基础测绘与调查监测技术装备建设                                                    | 标的名称：包组一：广东省自然资源卫星遥感快速联动监测与专题应用-设备采购（2023年）；包组二：基础测绘保障能力建设工程—技术支撑能力建设  标的数量：2  主要功能或目标：包组一：采购生产中心存储设备一套，训练服务器2台，高性能图形工作站5台，图形工作站5台，保障广东省自然资源卫星遥感快速联动监测与专题应用2023年度工作任务的顺利开展。包组二：采购高性能图形工作站4台、高性能塔式工作站7台、台式计算机2台，保障广东省国土资源技术中心顺利完成遥感影像数据快速获取和更新、基础地理信息数据整合更新、实景三维数据生产等任务。  需满足的要求：质量要求：设备质量可靠，具备五年原厂服务，设备通过验收。时限要求：2023年6月30日前完成验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 本项目不属于专门面向中小企业采购的项目。                              | 7309985.3   | 2023年01月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,464:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年12月至2023年03月政府采购意向 | 2022-12-01 10:12:00 | 地理信息保密检查软件                                                         | 标的名称：地理信息保密检查软件  标的数量：1  主要功能或目标：采购地理信息保密检查软件一套，具备识别文档、地图等电子文档的密级标识功能，包括服务端授权1个，客户端授权600个，服务于地理信息数据保密检查技术支撑工作。  需满足的要求：质量要求：满足采购需求所规定的技术要求，成果通过专家组验收。时限要求：2023年6月30日前完成验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 本项目不属于专门面向中小企业采购的项目。                              | 350000.0    | 2023年01月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,479:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年11月政府采购意向          | 2022-11-04 17:25:10 | 时空数据治理与一体化管理服务（2022-2024年）-技术底座第三方咨询服务                             | 标的名称：包1：云专区运行第三方评估服务 包2：自然资源业务网咨询服务  标的数量：2  主要功能或目标：包组1：围绕自然资源云专区运行提供第三方评估服务，工作内容包括制定评估体系、开展自然资源云专区指标评估工作、编制自然资源云专区整体运行报告等。 包组2：围绕国土资源业务专网、不动产登记“虚拟专网”、电子政务外网三网网络融合工作的开展提供第三方咨询服务，工作内容包括开展现状调研、开展需求分析、编制广东省自然资源业务网（三网融合）建设方案、广东省自然资源业务网（三网融合）建设方案专家论证等。  需满足的要求：包组1：2024年12月20日前完成建设内容，并通过采购人组织的专家组验收。 包组2：2023年6月底前完成服务内容，并通过采购人组织的专家组验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 本项目不属于专门面向中小企业采购的项目                               | 1203400.0   | 2022年11月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,489:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年07月至2022年08月政府采购意向 | 2022-07-07 21:36:10 | 广东省智慧自然资源——时空数据治理与一体化管理服务（2022-2024年）                              | 标的名称：广东省智慧自然资源——时空数据治理与一体化管理服务（2022-2024年）  标的数量：5  主要功能或目标：包括但不限于以下内容： 一、夯实自然资源信息化技术底座 （一）“云”底座建设 1、IaaS能力建设 2、I-PaaS能力建设 3、A-PaaS建设 4、时空数据治理支撑保障运营服务（云专区运营服务） 5、云专区第三方评估服务 （二）“网”底座建设 1、自然资源业务网（“三网”融合）建设 2、自然资源业务网建设方案咨询服务 （三）“安”底座建设 1、网络安全技术和管理体系建设（云专区安全资源池建设） 2、自然资源安全运营体系建设 3、安全合规体系建设 4、云专区密码资源池建设 二、总体建成自然资源三维时空数据体系 （一）软件开发服务 1、自然资源三维时空数据库管理与服务系统建设 （二）系统业务运营服务 1、自然资源业务专项数据治理 2、成果汇聚及管理 3、外部数据采购服务 4、自然资源实体数据构建 三、建成自然资源一体化管理与服务平台 （一）软件开发服务 1、调查监测支撑 2、审批监管支撑 3、评价评估支撑 4、预测预警支撑 5、赋能中心建设 （二）系统业务运营服务 1、标准化场景治理服务 2、政务服务事项电子预归档服务 3、自然资源知识库服务 4、服务超市运营服务 5、人工智能技术对接服务 6、与部系统对接 7、业务事项联动更新运营服务 8、数据资产运营服务 四、建设完善智慧自然资源服务应用 （一）软件开发服务 1、自然资源和不动产登记综合应用建设 2、用途管制综合应用建设 3、测绘地理信息管理综合应用建设 4、自然资源市场与资产监管综合应用建设 （二）系统业务运营服务 1、自然资源和不动产登记综合应用业务运营 2、用途管制综合应用业务运营 3、测绘地理信息管理综合应用业务运营 五、研究编制智慧自然资源标准与规范 （一）标准与规范编制服务 1、总体类 2、管理类 3、基础设施类 4、数据类 5、平台类 6、应用类 （二）标准与规范运营服务 1、标准与规范宣贯 2、标准与规范评估 3、标准与规范推广 4、标准与规范动态拓展 5、标准提升  需满足的要求：按要求完成所有服务内容，并通过采购人组织的专家验收。                                                                                                                                                                                                                                                                                                                                                                                   | 本项目不属于专门面向中小企业采购的项目。                              | 280482000.0 | 2022年08月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,503:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年05月至2022年06月政府采购意向 | 2022-05-27 14:16:00 | 广东省国土资源技术中心生产装备建设（2022年度）                                          | 标的名称：广东省国土资源技术中心生产装备建设（2022年度）  标的数量：1  主要功能或目标：通过本项目实施，采购可用容量不少于500TB的NAS存储，1台GPU服务器、8块图形加速卡、17台图形工作站、2 台普通工作站、2 台台式计算机、 6 台便捷式计算机、3台机架式服务器，保障广东省国土资源技术中心顺利完成有关数据生产与数据整理任务。  需满足的要求：设备质量可靠，具备三年原厂服务，2022年11月底前完成建设内容，并通过采购人组织的专家组验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 本项目不属于专门面向中小企业采购的项目                               | 5595000.0   | 2022年06月 | nan                     |
   DEBUG: 2023-03-30 21:52:35,518:      pdf_renderer.py:  470: printSegment: | 广东省国土资源技术中心（广东省基础地理信息中心）2022年05月至2022年06月政府采购意向 | 2022-05-07 15:43:35 | 广东省国土资源技术中心生产装备建设（2022年度）                                          | 标的名称：广东省国土资源技术中心生产装备建设（2022年度）  标的数量：1  主要功能或目标：通过本项目实施，采购约10台图形工作站、2 台普通工作站、2 台台式计算机、 3 台便捷式计算机、3台机架式服务器，保障广东省国土资源技术中心顺利完成2022年有关项目生产与数据整理任务。  需满足的要求：设备质量可靠，具备三年原厂服务，2022年11月底前完成建设内容，并通过采购人组织的专家组验收。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 本项目不属于专门面向中小企业采购的项目                               | 2170000.0   | 2022年06月 | nan                     |
